"nome_da_serie","temporada","media_nota_temporada","total_votos_temporada","ano_temporada"
"Flower Boy Next Door","1",7.49375,222,"2013"
"Flower That Blooms at Night","1",7.75833333333333,139,"2024"
"Flower of Evil","1",7.5,6,"2022"
"Flowers","1",7.98333333333333,1176,"2016"
"Flowers","2",8,750,"2018"
"Flowers in the Attic: The Origin","1",7.65,524,"2022"
"Flucht im Namen Gottes - Die Hugenotten","1",6.2,10,"2018"
"Fluffy Breaks Even","1",7.3,8,"2015"
"Fluid","1",9.05,23,"2020"
"Flunk","1",8.4,8,"2018"
"Flus","1",8.1375,76,"2022"
"Fluss des Lebens","1",5.77142857142857,137,"2013"
"Fly Girls","1",6.4,6,"2010"
"Flyback","1",9.8,5,"2017"
"Flying Blind","1",7.21818181818182,243,"1992"
"Flying High","1",6.4,164,"1978"
"Flying Wild Alaska","1",8.09,125,"2011"
"Flying Wild Alaska","2",8.15,28,"2011"
"Flying Wild Alaska","3",7.1,14,"2012"
"Flying Witch","1",7.65833333333333,157,"2016"
"Flykten till Östermalm","1",4.775,83,"2023"
"Folding Ideas","12",8.8,42,"2022"
"Folding Ideas","14",8,6,"2024"
"Folk","1",8.8,6,"2012"
"Folk","2",9.56666666666667,45,"2014"
"Folk America","1",7.2,6,"2009"
"Folk med ångest","1",7.11666666666667,863,"2021"
"Folkeopplysningen","3",7,5,"2016"
"Folkeopplysningen","4",7.6,11,"2018"
"Folkeopplysningen","5",9.3,13,"2019"
"Folkeopplysningen","7",6.8,5,"2022"
"Folklore","1",5.73333333333333,891,"2018"
"Folklore","2",6.64285714285714,247,"2021"
"Follow","1",6.4,24,"2023"
"Follow Kar Lo Yaar","1",4.8,176,"2024"
"Follow This","1",5.82857142857143,200,"2018"
"Follow This","2",5.71428571428571,128,"2018"
"Follow This","3",5.75,119,"2018"
"Follow de SOA","1",8.8,6,"2021"
"Follow the Sun","1",9.4,8,"1962"
"Followers","1",6.91666666666667,42,"2020"
"Follyfoot","1",7.23333333333333,118,"1971"
"Follyfoot","2",7.425,83,"1972"
"Follyfoot","3",7.6125,51,"1973"
"Fonejacker","1",8.55,117,"2007"
"Fonejacker","2",7.97142857142857,86,"2007"
"Fonoi sto kabanario","1",8.16363636363636,61,"2023"
"Food - Delicious Science","1",8.46666666666667,26,"2017"
"Food Factory","1",7.84,243,"2012"
"Food Factory","2",8,148,"2013"
"Food Factory","3",8.275,29,"2013"
"Food Factory","4",8.29375,106,"2014"
"Food Factory","5",8.13333333333333,18,"2015"
"Food Lore","1",7.4375,142,"2019"
"Food Markets: In the Belly of the City","1",8,30,"2013"
"Food Markets: In the Belly of the City","2",7.94,34,"2015"
"Food Markets: In the Belly of the City","3",7.16666666666667,19,"2017"
"Food Network Challenge","10",8.1,9,"2010"
"Food Paradise","1",8.75,12,"2007"
"Food Paradise","4",9,6,"2017"
"Food Party","1",8.6,5,"2009"
"Food Porn","1",5.85,25,"2015"
"Food Revolution","1",7.58333333333333,121,"2010"
"Food Revolution","2",6.53333333333333,75,"2011"
"Food Safari","1",7.2,10,"2007"
"Food Safari","3",9,17,"2008"
"Food Tech","1",6.69,88,"2010"
"Food Theory","1",7.88214285714286,192,"2020"
"Food Theory","2",6.97333333333333,91,"2021"
"Food Unwrapped","12",6.4,10,"2017"
"Food Unwrapped","13",5.6,5,"2018"
"Food Unwrapped","15",6.65,11,"2018"
"Food Unwrapped","16",7.1,11,"2019"
"Food Unwrapped","17",7.2,5,"2019"
"Food Unwrapped","18",5.8,5,"2020"
"Food Unwrapped","4",7.4,5,"2014"
"Food Unwrapped","8",7.8,5,"2016"
"Food Unwrapped","\N",6.2,9,"2016"
"Food: Fact or Fiction?","1",8.6,5,"2015"
"Food: Fact or Fiction?","2",8,5,"2016"
"Food: Fact or Fiction?","3",8.4,5,"2017"
"Food: Truth or Scare","1",6,238,"2016"
"Foodie Love","1",7.55,636,"2019"
"Foodtastic","1",6.89090909090909,132,"2021"
"Fool Me Once","1",7.1625,8934,"2024"
"Foot de rue","1",9,6,"2005"
"Football Hooligans International","1",8.55,155,"2007"
"Football's Darkest Secret","1",8.36666666666667,23,"2021"
"Football's Greatest Moments","1",7.48,95,"2018"
"Footballers Wive$: Extra Time","1",6.8,39,"2005"
"Footballers' Wives","1",6.8875,191,"2002"
"Footballers' Wives","2",7.2125,167,"2003"
"Footballers' Wives","3",7.34444444444444,172,"2004"
"Footballers' Wives","4",7.2,187,"2005"
"Footballers' Wives","5",7.1125,157,"2006"
"For All Mankind","1",8.12,23665,"2019"
"For All Mankind","2",7.92,19694,"2021"
"For All Mankind","3",7.98,17200,"2022"
"For All Mankind","4",7.84,11539,"2023"
"For Better or Worse","1",8.05,50,"2011"
"For Better or Worse","2",8.8,10,"2012"
"For Better or for Worse","3",9,19,"2005"
"For Heaven's Sake","1",7.6875,133,"2021"
"For Her Sins","1",6.575,127,"2023"
"For Life","1",7.87692307692308,3765,"2020"
"For Life","2",7.58,1704,"2020"
"For My Man","1",8.6,5,"2015"
"For My Woman","1",9.8,5,"2017"
"For Real: The Story of Reality TV","1",6,6,"2021"
"For the Love","1",9.4,67,"2023"
"For the Love of Ada","1",7.61666666666667,77,"1970"
"For the Love of Ada","2",7.71428571428571,68,"1970"
"For the Love of Ada","3",7.62857142857143,67,"1971"
"For the Love of Ada","4",7.75714285714286,76,"1971"
"For the Love of DILFs","1",7.53333333333333,50,"2023"
"For the Love of Kitchens","1",9.56666666666667,36,"2021"
"For the Love of Mike","1",7.8,7,"1991"
"For the People","1",8.435,2307,"1965"
"For the People","2",7.94,1605,"2019"
"For the Record","1",8.4,15,"1976"
"For the Record","4",8.3,11,"1979"
"Forbidden History","1",6.65,214,"2013"
"Forbidden History","2",6.73333333333333,191,"2014"
"Forbidden History","3",5.5,170,"2016"
"Forbidden History","4",6.33333333333333,153,"2017"
"Forbidden History","5",6.93333333333333,98,"2018"
"Forbidden History","6",7.2,145,"2020"
"Forbidden History","7",7.05,65,"2022"
"Forbidden Love","1",5.1,268,"2020"
"Forbidden Science","1",6.25384615384615,343,"2009"
"Forbidden: Dying for Love","1",7.33333333333333,87,"2015"
"Forbidden: Dying for Love","2",7.68,119,"2017"
"Forbidden: Dying for Love","3",7.1,92,"2018"
"Forbidden: Dying for Love","4",6.9,121,"2018"
"Forbrydelsen","1",7.955,8515,"2007"
"Forbrydelsen","2",7.76,3141,"2009"
"Forbrydelsen","3",7.9,3003,"2012"
"Forces of Nature with Brian Cox","1",7.975,231,"2016"
"Ford Star Jubilee","1",8.16,237,"1955"
"Ford Star Jubilee","2",9.1,35,"1956"
"Foreign Correspondent","21",7,7,"2012"
"Foreign Intrigue","1",5.9,10,"1951"
"Foreign Intrigue","2",6.7,15,"1953"
"Foreign Intrigue","3",7.4,6,"1953"
"Foreign Intrigue","4",7.25,18,"1954"
"Forensic Files","1",7.38571428571429,1794,"1996"
"Forensic Files","10",7.3547619047619,3547,"2005"
"Forensic Files","11",7.25,3758,"2006"
"Forensic Files","12",7.27666666666667,2505,"2007"
"Forensic Files","13",7.378,4050,"2008"
"Forensic Files","14",7.45238095238095,1750,"2010"
"Forensic Files","15",7.56666666666667,134,"2001"
"Forensic Files","2",7.43076923076923,1493,"1997"
"Forensic Files","3",7.39230769230769,1339,"1998"
"Forensic Files","4",7.39230769230769,1458,"1999"
"Forensic Files","5",7.35263157894737,1948,"2000"
"Forensic Files","6",7.26666666666667,3030,"2001"
"Forensic Files","7",7.15238095238095,3569,"2002"
"Forensic Files","8",7.18095238095238,3694,"2003"
"Forensic Files","9",7.31,2822,"2004"
"Forensic Files","\N",8,77,"2001"
"Forensic Files II","1",7.75,781,"2020"
"Forensic Files II","2",7.71428571428571,477,"2021"
"Forensic Files II","3",7.9125,392,"2022"
"Forensic Files II","4",7.51666666666667,176,"2023"
"Forensic Firsts","1",8.23333333333333,79,"2012"
"Forensic Firsts","2",8.6,38,"2013"
"Forensic Investigators","1",7.78888888888889,106,"2004"
"Forensic Investigators","2",7.6,89,"2005"
"Forensic Investigators","3",7.3,45,"2006"
"Forensics NZ","2",7,5,"2018"
"Forensics: Catching the Killer","1",8.1,7,"2021"
"Forensics: Catching the Killer","2",8,12,"2022"
"Forensics: Catching the Killer","3",6.8,5,"2023"
"Forensics: The Real CSI","1",8,37,"2019"
"Forensics: The Real CSI","2",8.3,107,"2021"
"Forensics: The Real CSI","3",7.75,53,"2023"
"Forensics: The Real CSI","4",7.525,39,"2024"
"Forensics: You Decide","1",6.05,14,"2009"
"Foresight","1",6.1,47,"2021"
"Forestillinger","1",8.03333333333333,23,"2007"
"Forever","1",8.18666666666667,32631,"2014"
"Forever Knight","1",7.68636363636364,1264,"1992"
"Forever Knight","2",8.05,1107,"1994"
"Forever Knight","3",7.77272727272727,754,"1995"
"Forever Summer: Hamptons","1",6.7625,79,"2022"
"Forevermore","1",7.41666666666667,104,"2014"
"Forged in Fire","1",7.7125,461,"2015"
"Forged in Fire","2",7.66,433,"2016"
"Forged in Fire","3",7.9125,501,"2016"
"Forged in Fire","4",7.98695652173913,632,"2017"
"Forged in Fire","5",8.0625,766,"2018"
"Forged in Fire","6",8.15862068965517,322,"2019"
"Forged in Fire","7",7.76086956521739,218,"2019"
"Forged in Fire","8",7.275,91,"2020"
"Forged in Fire","9",7.55,34,"2022"
"Forged in Fire: Beat the Judges","1",7.25,14,"2020"
"Forged in Fire: Knife or Death","1",6.66666666666667,41,"2018"
"Forged in Fire: Knife or Death","2",6.44285714285714,52,"2018"
"Forget About It","1",6.45,31,"2011"
"Forgotten","1",7.86666666666667,74,"1999"
"Forgotten Internet","1",8.575,104,"2019"
"Forgotten Planet","1",6.76666666666667,67,"2011"
"Forgotten Planet","\N",7.1,71,"2011"
"Forhøret","1",6.9875,874,"2019"
"Forhøret","2",6.2125,597,"2021"
"Forhøret","3",7.2,261,"2023"
"Forky Asks a Question","1",6.44,4667,"2019"
"Formula 1","1",7.24285714285714,115,"1950"
"Formula 1","10",4.32222222222222,84,"1959"
"Formula 1","11",3.41,94,"1960"
"Formula 1","12",3.4625,74,"1961"
"Formula 1","13",2.71111111111111,83,"1962"
"Formula 1","14",2.64,94,"1963"
"Formula 1","15",2.87,93,"1964"
"Formula 1","16",2.92,92,"1965"
"Formula 1","17",2.72222222222222,78,"1966"
"Formula 1","18",2.51818181818182,90,"1967"
"Formula 1","19",2.54166666666667,99,"1968"
"Formula 1","2",6.6875,80,"1951"
"Formula 1","20",2.56363636363636,89,"1969"
"Formula 1","21",3.83846153846154,120,"1970"
"Formula 1","22",3.91818181818182,104,"1971"
"Formula 1","23",3.65,110,"1972"
"Formula 1","24",4.58666666666667,155,"1973"
"Formula 1","25",4.5,152,"1974"
"Formula 1","26",4.58571428571429,143,"1975"
"Formula 1","27",5.80625,189,"1976"
"Formula 1","28",5.48235294117647,193,"1977"
"Formula 1","29",5.31875,178,"1978"
"Formula 1","3",4.475,79,"1952"
"Formula 1","30",5.80666666666667,172,"1979"
"Formula 1","31",4.66428571428571,149,"1980"
"Formula 1","32",5.18666666666667,190,"1981"
"Formula 1","33",5.6125,220,"1982"
"Formula 1","34",4.69333333333333,168,"1983"
"Formula 1","35",3.5375,150,"1984"
"Formula 1","36",5.34375,187,"1985"
"Formula 1","37",7.03125,217,"1986"
"Formula 1","38",4.675,179,"1987"
"Formula 1","39",6.70625,149,"1988"
"Formula 1","4",4.72222222222222,93,"1953"
"Formula 1","40",4.39285714285714,154,"1989"
"Formula 1","41",5.2,177,"1990"
"Formula 1","42",5.11875,187,"1991"
"Formula 1","43",4.6625,180,"1992"
"Formula 1","44",6.8875,218,"1993"
"Formula 1","45",6.05,227,"1994"
"Formula 1","46",6.99411764705882,201,"1995"
"Formula 1","47",6.63125,212,"1996"
"Formula 1","48",7.45294117647059,201,"1997"
"Formula 1","49",7.39375,248,"1998"
"Formula 1","5",4.01111111111111,88,"1954"
"Formula 1","50",7.60625,183,"1999"
"Formula 1","51",7.28235294117647,147,"2000"
"Formula 1","52",6.8,152,"2001"
"Formula 1","53",6.28823529411765,130,"2002"
"Formula 1","54",7.39375,204,"2003"
"Formula 1","55",6.7,173,"2004"
"Formula 1","56",7.4,265,"2005"
"Formula 1","57",7.46666666666667,261,"2006"
"Formula 1","58",7.22941176470588,321,"2007"
"Formula 1","59",7.58888888888889,416,"2008"
"Formula 1","6",5.12857142857143,84,"1955"
"Formula 1","60",7.1,237,"2009"
"Formula 1","61",7.29473684210526,360,"2010"
"Formula 1","62",7.21052631578947,329,"2011"
"Formula 1","63",7.815,598,"2012"
"Formula 1","64",7.15263157894737,314,"2013"
"Formula 1","65",6.96842105263158,354,"2014"
"Formula 1","66",6.42105263157895,337,"2015"
"Formula 1","67",7.22857142857143,533,"2016"
"Formula 1","68",7.085,877,"2017"
"Formula 1","69",7.09523809523809,1066,"2018"
"Formula 1","7",3.1125,81,"1956"
"Formula 1","70",6.61428571428571,1593,"2019"
"Formula 1","71",6.8,1296,"2020"
"Formula 1","72",7.16363636363636,2672,"2021"
"Formula 1","73",6.97272727272727,1729,"2022"
"Formula 1","74",6.32173913043478,1520,"2023"
"Formula 1","75",6.725,994,"2024"
"Formula 1","8",6.2375,82,"1957"
"Formula 1","9",3.60909090909091,104,"1958"
"Formula 1: BBC Sport","1",8.5,34,"2009"
"Formula 1: BBC Sport","2",8.60909090909091,140,"2010"
"Formula 1: BBC Sport","3",8.26,72,"2011"
"Formula 1: BBC Sport","4",8.6,21,"2012"
"Formula 1: BBC Sport","6",8.8,12,"2014"
"Formula 1: Drive to Survive","1",7.82,10369,"2019"
"Formula 1: Drive to Survive","2",7.9,8961,"2020"
"Formula 1: Drive to Survive","3",7.8,10206,"2021"
"Formula 1: Drive to Survive","4",7.26,8827,"2022"
"Formula 1: Drive to Survive","5",7.19,5295,"2023"
"Formula 1: Drive to Survive","6",7.42,3761,"2024"
"Formula 1: Grill the Grid","1",7.95185185185185,152,"2016"
"Formula 1: Grill the Grid","2",8.23,100,"2017"
"Formula 1: Grill the Grid","3",8.14,50,"2018"
"Formula 1: Grill the Grid","4",8.43,51,"2019"
"Formula 1: Grill the Grid","5",9.25,24,"2021"
"Formula 1: Grill the Grid","6",8.35,20,"2022"
"Formula 1: Ten Sport","3",7.2,12,"2005"
"Formula E","1",6.5,11,"2014"
"Formula E","5",7.06666666666667,57,"2018"
"Formula E","6",7.08,32,"2019"
"Formula E","7",6.6,5,"2021"
"Forræder","1",8.82,93,"2022"
"Forræder","2",8.87857142857143,106,"2023"
"Forræder","3",7.26923076923077,82,"2023"
"Forst","1",6.31666666666667,725,"2024"
"Forsthaus Falkenau","1",6.76,45,"1989"
"Forsthaus Falkenau","18",6.9,18,"2007"
"Forsthaus Falkenau","19",7.1375,76,"2008"
"Forsthaus Falkenau","20",6.6,10,"2009"
"Forsthaus Falkenau","21",8.3,10,"2010"
"Forsthaus Falkenau","22",6.43333333333333,54,"2011"
"Forsthaus Falkenau","23",6.2375,77,"2012"
"Forsthaus Falkenau","24",6.36,46,"2013"
"Forsvinningen - Lørenskog 31. oktober 2018","1",6.72,624,"2022"
"Fort Boyard","13",8.9,32,"2002"
"Fortellinger fra Drammen","1",7.18333333333333,45,"2014"
"Fortier","1",9,12,"2001"
"Fortitude","1",7.47272727272727,6879,"2015"
"Fortitude","2",7.27,3997,"2017"
"Fortitude","3",6.55,1025,"2018"
"Fortress Britain","1",6.975,36,"2023"
"Fortunate Son","1",6.1,76,"2020"
"Fortune Arterial: Akai yakusoku","1",5.2,6,"2010"
"Fortune Dane","1",6.4,14,"1986"
"Fortunes of War","1",7.57142857142857,206,"1987"
"Forty Eight Hours","12",6.2,8,"1999"
"Forty Eight Hours","14",7.3,9,"2001"
"Forty Eight Hours","17",6.6,7,"2005"
"Forty Eight Hours","18",6.47142857142857,61,"2004"
"Forty Eight Hours","19",6.95,34,"2005"
"Forty Eight Hours","2",7.2,7,"1989"
"Forty Eight Hours","20",7.2875,81,"2006"
"Forty Eight Hours","21",7.0375,76,"2007"
"Forty Eight Hours","22",7.35,50,"2008"
"Forty Eight Hours","23",7.17222222222222,181,"2009"
"Forty Eight Hours","24",7.30357142857143,326,"2010"
"Forty Eight Hours","25",7.156,274,"2011"
"Forty Eight Hours","26",7.07037037037037,411,"2012"
"Forty Eight Hours","27",7.06129032258065,363,"2013"
"Forty Eight Hours","28",7.08823529411765,421,"2014"
"Forty Eight Hours","29",7.10645161290323,353,"2015"
"Forty Eight Hours","3",6.05,17,"1989"
"Forty Eight Hours","30",7.19705882352941,466,"2016"
"Forty Eight Hours","31",7.06296296296296,371,"2017"
"Forty Eight Hours","32",7.51363636363636,290,"2018"
"Forty Eight Hours","33",7.46666666666667,310,"2019"
"Forty Eight Hours","34",7.225,429,"2020"
"Forty Eight Hours","35",7.43928571428571,497,"2021"
"Forty Eight Hours","36",7.37931034482759,526,"2022"
"Forty Eight Hours","37",7.07666666666667,462,"2023"
"Forty Eight Hours","\N",8.575,32,"2006"
"Forty Minutes","14",8.2,6,"1994"
"Forty Minutes","4",6.4,13,"1985"
"Forty Minutes","5",7.4,13,"1985"
"Forty Minutes","6",8.4,33,"1987"
"Forty Minutes","7",7.5,21,"1987"
"Forty Minutes","9",8.45,49,"1989"
"Fortysomething","1",8.38333333333333,550,"2003"
"Força Koeman","1",8.3,21,"2021"
"Força Koeman","2",8.1,21,"2021"
"Força Koeman","3",7.8,18,"2021"
"Fosca Innocenti","1",6.125,53,"2022"
"Fosca Innocenti","2",5.9,36,"2023"
"Fosse/Verdon","1",8.1375,3773,"2019"
"Foster's Home for Imaginary Friends","1",7.71818181818182,1472,"2004"
"Foster's Home for Imaginary Friends","2",7.55384615384615,1514,"2005"
"Foster's Home for Imaginary Friends","3",7.34285714285714,1274,"2005"
"Foster's Home for Imaginary Friends","4",8.01764705882353,1149,"2006"
"Foster's Home for Imaginary Friends","5",7.17619047619048,1055,"2006"
"Foster's Home for Imaginary Friends","6",7.41818181818182,734,"2008"
"Fotballkrigen","1",7.6,21,"2010"
"Foudre","1",8.8,6,"2007"
"Found","1",7.33571428571429,3061,"2016"
"Found Footage","1",3.8,5,"2017"
"Found Footage: The Series","1",4.1,23,"2022"
"Foundation","1",7.47,40665,"2021"
"Foundation","2",7.9,23564,"2023"
"Founding Fathers","1",8.23333333333333,24,"2000"
"Four Corners","50",7.1,9,"2010"
"Four Corners","53",6.4,17,"2013"
"Four Corners","54",1,66,"2015"
"Four Corners","58",6.5,18,"2018"
"Four Corners","59",6.1,62,"2019"
"Four Corners","60",6.81666666666667,98,"2020"
"Four Corners","63",7.6,5,"2023"
"Four Corners","64",7.2,18,"2024"
"Four Corners","\N",8.5,8,"1993"
"Four Feather Falls","1",7.13589743589744,316,"1960"
"Four Hands Menu","1",8,5,"2018"
"Four Kings","1",6.68461538461538,995,"2006"
"Four Lives","1",7.56666666666667,628,"2022"
"Four More Shots Please!","1",5.51,1768,"2019"
"Four More Shots Please!","2",4.18,1676,"2020"
"Four More Shots Please!","3",5.41,381,"2022"
"Four Seasons","1",6.55,102,"2008"
"Four Star Playhouse","1",6.98888888888889,819,"1952"
"Four Star Playhouse","2",7.23666666666667,1061,"1953"
"Four Star Playhouse","3",7.09459459459459,993,"1954"
"Four Star Playhouse","4",7.04594594594595,854,"1955"
"Four Star Playhouse","\N",6.9,12,"1954"
"Four Star Revue","1",7.3,14,"1950"
"Four Star Revue","2",9.8,113,"1952"
"Four Stories","1",6.7,9,"2016"
"Four Weddings","1",7.04285714285714,50,"2009"
"Four Weddings","3",6,18,"2011"
"Four Weddings","4",7.9,13,"2013"
"Four Weddings and a Funeral","1",7.67,1782,"2019"
"Four in a Bed","1",6.225,61,"2010"
"Four in a Bed","2",5.68,28,"2011"
"Four in a Bed","3",5.8,6,"2012"
"Four in a Bed","4",7.2,5,"2013"
"Four in the Morning","1",9.1,25,"2016"
"Foursome","1",7.3625,175,"2006"
"Foursome","2",6.63,148,"2016"
"Foursome","3",6.71,122,"2017"
"Foursome","4",8.71666666666667,41,"2018"
"Foute Vrienden","3",6.8,5,"2015"
"Fox","1",7.34,173,"1980"
"Fox","2",8.42307692307692,117,"2017"
"Fox","3",7.61538461538461,104,"2018"
"Fox","4",8.86153846153846,108,"2019"
"Fox & Friends","\N",3.5,58,"2006"
"Fox & Friends First","\N",1,17,"2021"
"Fox 5 Morning News","\N",8.9,9,"2013"
"Fox Files","\N",3.95,168,"2020"
"Fox Legacy with Tom Rothman","\N",7.1,7,"2010"
"Fox NFL Sunday","\N",6,8,"2005"
"Fox Report w/ Shepard Smith","\N",1,8,"2008"
"Fox Sports Live","\N",8.7,7,"2014"
"Fox: Making the Dream","1",9.225,24,"2020"
"Foxworthy's Big Night Out","1",9.4,12,"2006"
"Foyle's War","1",8.225,3792,"2002"
"Foyle's War","2",8.425,3060,"2003"
"Foyle's War","3",8.25,2707,"2004"
"Foyle's War","4",8.175,2549,"2006"
"Foyle's War","5",8.4,1877,"2008"
"Foyle's War","6",8.3,1980,"2010"
"Foyle's War","7",8.36666666666667,1649,"2013"
"Foyle's War","8",8.56666666666667,1613,"2015"
"Fractale","1",6,13,"2011"
"Fractured Fairy Tales","1",7.38,53,"1959"
"Fractured Flickers","1",7.24615384615385,343,"1963"
"Fraggle Rock","1",7.35135135135135,2467,"1983"
"Fraggle Rock","2",7.37083333333333,1619,"1984"
"Fraggle Rock","3",7.28181818181818,1317,"1984"
"Fraggle Rock","4",7.34615384615385,657,"1986"
"Fraggle Rock","5",7.65384615384615,693,"1987"
"Fraggle Rock: Back to the Rock","1",8.01428571428571,521,"2022"
"Fraggle Rock: Back to the Rock","2",8.06153846153846,156,"2024"
"Fraggle Rock: Rock On!","1",6.75,140,"2020"
"Fragile","1",7.11,85,"2019"
"Fragmented Trinity","1",9,11,"2021"
"Fragrance of the First Flower","1",7.43333333333333,43,"2021"
"Fraidy Cat","1",5.8,6,"1975"
"Framed","1",8.74545454545455,113,"1992"
"Framed by the Killer","1",8.6,28,"2021"
"France/tour/détour/deux/enfants","1",6.75833333333333,195,"1979"
"Francesco's Italy: Top to Toe","1",8.4,5,"2006"
"Francesco's Mediterranean Voyage","1",8.075,25,"2008"
"Francisco el Matemático","1",8.45,97,"1999"
"Frank Riva","1",6.73333333333333,68,"2003"
"Frank Riva","2",6.86666666666667,65,"2004"
"Frank TV","1",7,5,"2008"
"Frank of Ireland","1",7.26666666666667,612,"2021"
"Frank's Place","1",8.11363636363636,191,"1987"
"Frankelda's Book of Spooks","1",9.16,260,"2021"
"Frankenstein","1",6.7,99,"2004"
"Frankenstein, Jr. and the Impossibles","1",7.28571428571429,62,"1966"
"Frankie","1",7.85,210,"2013"
"Frankie Boyle's New World Order","1",6.66,111,"2017"
"Frankie Boyle's New World Order","2",6.85,142,"2018"
"Frankie Boyle's New World Order","3",7.0125,95,"2019"
"Frankie Boyle's New World Order","4",7.1875,133,"2020"
"Frankie Boyle's New World Order","5",7.4,126,"2021"
"Frankie Boyle's New World Order","6",7.4625,108,"2022"
"Frankie Boyle's Tour of Scotland","1",8.025,66,"2020"
"Frankie Boyle's Tramadol Nights","1",7.95,88,"2010"
"Frankie Drake Mysteries","1",7.29090909090909,1948,"2017"
"Frankie Drake Mysteries","2",7.43,1269,"2018"
"Frankie Drake Mysteries","3",7.46,1137,"2019"
"Frankie Drake Mysteries","4",7.35,1072,"2021"
"Frankie Drake Mysteries: A Cold Case","1",8.2,48,"2017"
"Frankie Goes to Russia","1",7.7,22,"2018"
"Franklin","1",7.22857142857143,1973,"1997"
"Franklin","2",7.27692307692308,173,"1998"
"Franklin","3",6.73076923076923,177,"1999"
"Franklin","4",6.75,53,"2000"
"Franklin","5",7.10833333333333,159,"2001"
"Franklin","6",7.16923076923077,164,"2004"
"Franklin","\N",8.15,22,"2002"
"Franklin & Bash","1",7.39,1687,"2011"
"Franklin & Bash","2",7.63,1238,"2012"
"Franklin & Bash","3",7.83,923,"2013"
"Franklin & Bash","4",7.5,753,"2014"
"Franklin and Friends","1",6.8,6,"2011"
"Franzi","3",7.4,10,"2011"
"Frasier","1",7.81470588235294,39096,"1993"
"Frasier","10",7.69583333333333,20254,"2002"
"Frasier","11",7.94583333333333,22081,"2003"
"Frasier","2",8.075,27708,"1994"
"Frasier","3",7.93333333333333,24809,"1995"
"Frasier","4",8.10869565217391,24750,"1996"
"Frasier","5",8.04583333333333,25252,"1997"
"Frasier","6",7.98333333333333,23247,"1998"
"Frasier","7",8.025,22720,"1999"
"Frasier","8",7.6875,20689,"2000"
"Frasier","9",7.6375,19891,"2001"
"Frau Jordan stellt gleich","1",7.78,282,"2019"
"Frau Jordan stellt gleich","2",7.49,134,"2020"
"Frau Jordan stellt gleich","3",6.68,127,"2021"
"Frau Temme sucht das Glück","1",6.73333333333333,50,"2017"
"Fraud Squad","1",7.66666666666667,74,"1969"
"Fraud Squad","2",7.5,77,"1970"
"Frauen, die Geschichte machten","1",6.56666666666667,119,"2013"
"Frauengeschichten","\N",7.4,6,"1983"
"Frayed","1",8.05,465,"2019"
"Frayed","2",7.88333333333333,276,"2021"
"Freak Encounters","1",5.67142857142857,58,"2010"
"Freak Out","1",8.4,5,"2014"
"Freak Show","1",4.52857142857143,253,"2006"
"FreakAngels","1",7.2,36,"2022"
"Freakazoid!","1",7.78461538461538,1102,"1995"
"Freakazoid!","2",7.78181818181818,731,"1996"
"Freaking Fucking Games","1",8.62413793103448,318,"2011"
"Freaking Fucking Games","2",9.09285714285714,115,"2014"
"Freaking Fucking Games","3",8.8,6,"2018"
"Freakish","1",7.1,1166,"2016"
"Freakish","2",7.17,798,"2017"
"Freaks and Geeks","1",8.68888888888889,37339,"1999"
"Freakshow","1",8.11428571428571,86,"2013"
"Freakshow","2",8.75,28,"2014"
"Freaky Eaters","1",5.33333333333333,27,"2010"
"Freaky Eaters","2",6.26666666666667,21,"2011"
"Freaky Stories","1",7.325,24,"1997"
"FreakyLinks","1",7.35384615384615,226,"2000"
"Fred","1",3.55454545454545,314,"2008"
"Fred","2",2.70909090909091,260,"2008"
"Fred","3",2.09285714285714,311,"2009"
"Fred","4",2.5,41,"2010"
"Fred","5",1.67142857142857,57,"2014"
"Fred & Rose: The West Murders","1",6.8,5,"2008"
"Fred Dinenage Murder Casebook","1",7.3875,147,"2011"
"Fred Dinenage Murder Casebook","2",7.6,106,"2012"
"Fred Dinenage Murder Casebook","3",7.78333333333333,95,"2013"
"Fred West: The Glasgow Girls","1",6.53333333333333,28,"2023"
"Fred and Barney Meet the Thing","1",5.36153846153846,351,"1979"
"Fred and Rose","1",7.15,13,"2014"
"Fred til lands","1",6.7125,538,"2019"
"Fred: The Show","1",5.52083333333333,864,"2012"
"Freddie","1",7.62727272727273,356,"2005"
"Freddie Flintoff's Field of Dreams","1",8.43333333333333,56,"2022"
"Freddie Flintoff's Field of Dreams","2",8.6,52,"2023"
"Freddie Mercury's Quest","1",8.5,6,"2019"
"Freddy Fazbears Pizza","1",9.4,14,"2024"
"Freddy's Nightmares","1",5.95454545454545,3416,"1988"
"Freddy's Nightmares","2",6.21363636363636,1863,"1989"
"Freddy, leven in de brouwerij","1",7.2,48,"2013"
"Frederick Forsyth Presents","1",6.73333333333333,55,"1989"
"Frederick Forsyth Presents","2",6.46666666666667,112,"1990"
"Frederik IX","1",7.275,62,"2019"
"Fredløs","1",7.0625,75,"2021"
"Fredrikssons fabrikk","1",5.91428571428571,52,"1990"
"Fredrikssons fabrikk","2",5.96,32,"1992"
"Free Agents","1",6.51538461538462,313,"2009"
"Free Meek","1",7.18,84,"2019"
"Free Radio","1",7.33333333333333,139,"2008"
"Free Radio","2",7,106,"2009"
"Free Rein","1",8.71,517,"2017"
"Free Rein","2",8.28181818181818,4050,"2018"
"Free Rein","3",8.01818181818182,3816,"2019"
"Free Ride","1",7.3,15,"2006"
