"nome_da_serie","temporada","media_nota_temporada","total_votos_temporada","ano_temporada"
"10 Things I Hate About You","1",7.675,1442,"2009"
"10 Things You Didn't Know About...","1",8.6,11,"2006"
"10 Things You Didn't Know About...","2",7.5,10,"2008"
"10 Things You Don't Know About","1",6.775,318,"2012"
"10 Things You Don't Know About","2",7.85,83,"2013"
"10 Things You Don't Know About","3",7.96,176,"2014"
"10 Years Ticket","1",9.6,6,"2022"
"10 Years with Hayao Miyazaki","1",8.55,108,"2019"
"10 vor 11","\N",6.3,32,"2001"
"10-8: Officers on Duty","1",6.66153846153846,494,"2003"
"10.5","1",6.55,52,"2004"
"10.5: Apocalypse","1",5.95,93,"2006"
"100 Centre Street","2",7.8,7,"2002"
"100 Day Dream Home","1",7.35,51,"2019"
"100 Day Dream Home","2",7.45,21,"2021"
"100 Days Wild","1",6.81666666666667,43,"2020"
"100 Days to Indy","1",8.46666666666667,120,"2023"
"100 Days to Indy","2",7.725,31,"2024"
"100 Days to Victory","1",7.05,33,"2018"
"100 Deeds for Eddie McDowd","1",6.1875,101,"1999"
"100 Deeds for Eddie McDowd","2",6.85,24,"2001"
"100 Deeds for Eddie McDowd","3",7.4,339,"2002"
"100 Foot Wave","1",8.11666666666667,578,"2021"
"100 Foot Wave","2",8.08333333333333,282,"2023"
"100 Greatest Discoveries","1",7.96666666666667,36,"2004"
"100 Greatest Discoveries","2",8.33333333333333,80,"2005"
"100 Humans","1",5.8875,1448,"2020"
"100 Jahre - Der Countdown","1",6.81428571428571,50,"1999"
"100 Jahre - Der Countdown","2",8.6,10,"1999"
"100 Jahre - Der Countdown","8",7,7,"1999"
"100 Questions","1",6.46666666666667,150,"2010"
"100 Things to Do Before High School","1",7.872,764,"2014"
"100 Years of Horror","1",7.00769230769231,1225,"1996"
"100 Years of Warner Bros.","1",7.825,456,"2023"
"100 días para enamorarnos","1",7.59285714285714,188,"2020"
"100 días para enamorarnos","2",8,6,"2021"
"100 días para enamorarse","1",5.6,9,"2018"
"100 femmes musulmanes se racontent","1",8.5,7,"2007"
"100 femmes musulmanes se racontent","\N",8.5,7,"2008"
"100 films par 100 personnalités","\N",6.6,17,"1998"
"100 höjdare","2",6.71,76,"2005"
"100 höjdare","3",6.7875,61,"2005"
"100 höjdare","4",7.07142857142857,59,"2006"
"100 höjdare","5",6.45,55,"2007"
"100 höjdare","6",6.4625,44,"2008"
"100% Hotter","1",5.24,128,"2016"
"100% Wolf: Legend of the Moonstone","1",8.30769230769231,168,"2020"
"100-man no Inochi no Ue ni Ore wa Tatte Iru","1",6.88333333333333,549,"2020"
"100-man no Inochi no Ue ni Ore wa Tatte Iru","2",6.80833333333333,404,"2021"
"1000 Ways to Die","1",6.50833333333333,623,"2008"
"1000 Ways to Die","2",6.70833333333333,436,"2009"
"1000 Ways to Die","3",6.98571428571429,522,"2010"
"1000 Ways to Die","4",7.33125,555,"2011"
"1000 Ways to Die","5",7.53333333333333,272,"2011"
"1000 Ways to Die","6",8,168,"2012"
"1000 Ways to Die","8",7.4,15,"2012"
"1000 Ways to Die","\N",8.61428571428571,93,"2010"
"1000 Years Old","1",6.8,5,"2024"
"1000-lb Best Friends","1",6.21666666666667,42,"2022"
"1000-lb Best Friends","2",7.4,5,"2023"
"1000-lb Sisters","1",6.46666666666667,328,"2020"
"1000-lb Sisters","2",7.15,335,"2021"
"1000-lb Sisters","3",7.525,379,"2021"
"1000-lb Sisters","4",7.44,243,"2023"
"1000-lb Sisters","5",8.33333333333333,202,"2023"
"1000Stars","1",9.47,1093,"2021"
"100man-kai ieba yokatta","1",8.1,13,"2023"
"101 Battalion","1",6.9,33,"2023"
"101 Dalmatian Street","1",7.79615384615385,651,"2018"
"101 Dalmatian Street Shorts","\N",6.23333333333333,46,"2018"
"101 Dalmatians: The Series","1",6.13538461538462,2215,"1997"
"101 East","12",8.6,6,"2017"
"101 East","6",6.5,6,"2011"
"101 Lições de Cinema","1",10,83,"2020"
"101 Places to Party Before You Die","1",8.1875,123,"2022"
"101 Ways to Leave a Game Show","1",6.6,29,"2011"
"103 Gol","1",9.05,22,"2021"
"106 & Park Top 10 Live","\N",5.8,148,"2006"
"1066","1",7.1,52,"2009"
"1066: A Year to Conquer England","1",7.16666666666667,88,"2017"
"10i entoli","1",8.03103448275862,361,"2004"
"10i entoli","2",8.07058823529412,348,"2005"
"10i entoli","3",8.18666666666667,328,"2006"
"10i entoli","4",8.08181818181818,127,"2015"
"10i entoli","5",6.6,5,"2015"
"10x10","5",6.6,5,"1992"
"10x10","9",5.8,13,"1997"
"11 Eyes","1",5.56153846153846,139,"2009"
"11 Minutes","1",7.725,161,"2022"
"11 Shots","1",7.4,5,"2022"
"11 Uhr 20","1",7.56666666666667,42,"1970"
"11-11 En mi cuadra nada cuadra","1",9,13,"2013"
"11.22.63","1",8.1625,31078,"2016"
"112 Aina","1",7.775,27,"2013"
"1122 Ii Fuufu","1",7.9,16,"2024"
"11M: El Principio del Fin","1",9.4,313,"2022"
"11th Hour","1",5.625,66,"2021"
"12 Dates of Christmas","1",6.71428571428571,75,"2020"
"12 Dates of Christmas","2",6.525,25,"2021"
"12 Deadly Days","1",6.64166666666667,217,"2016"
"12 Eylul","1",8.25555555555555,79,"1998"
"12 Jahre, 3 Monate, 9 Tage - Die Jahreschronik des Dritten Reichs","1",7.6,5,"2006"
"12 Mart: Ihtilalin Pencesinde Demokrasi","1",8.64,112,"1994"
"12 Miles of Bad Road","1",8.13333333333333,263,"2008"
"12 Monkeys","1",7.93076923076923,19186,"2015"
"12 Monkeys","2",8.38461538461539,14152,"2016"
"12 Monkeys","3",8.59,9453,"2017"
"12 Monkeys","4",8.78181818181818,11288,"2018"
"12 O'Clock High","1",8.0625,2008,"1964"
"12 O'Clock High","2",7.99655172413793,1285,"1965"
"12 O'Clock High","3",7.9,711,"1966"
"12 corazones","2",8.2,5,"2006"
"12 oz. Mouse","1",7.24285714285714,402,"2005"
"12 oz. Mouse","2",7.58461538461538,499,"2006"
"12 oz. Mouse","3",6.04545454545455,150,"2020"
"12 oz. Mouse","\N",6.56666666666667,62,"2005"
"12 reci","1",8.8,1393,"2020"
"12 reci","2",7.05,36,"2023"
"12 stulev","1",8.025,201,"1977"
"13 Demon Street","1",5.8,344,"1959"
"13 Geboden","1",7.21538461538462,1457,"2017"
"13 Klinicheskaya","1",7.725,60,"2022"
"13 Mussoorie","1",7.13333333333333,16,"2018"
"13 Nights of Elvira","1",6.17692307692308,542,"2014"
"13 Reasons Why","1",8.35384615384615,85889,"2017"
"13 Reasons Why","2",7.40769230769231,45373,"2018"
"13 Reasons Why","3",6.76923076923077,29404,"2019"
"13 Reasons Why","4",6.14,20322,"2020"
"13 Reasons Why: Beyond the Reasons","1",7.8,1808,"2017"
"13 Reasons Why: Beyond the Reasons","2",7,65,"2018"
"13 Reasons Why: Beyond the Reasons","3",7.1,46,"2019"
"13 Steps Down","1",6.8,35,"2012"
"13 posterunek","1",7.24146341463415,456,"1997"
"13 posterunek 2","1",7.4390243902439,252,"2000"
"13: Fear Is Real","1",5.6,109,"2009"
"14 Tagebücher des Ersten Weltkriegs","1",8.625,172,"2014"
"14 de abril. La República","1",6.8,6,"2011"
"14.000.000.000$!!!","1",9.4,120,"2013"
"14.000.000.000$!!!","2",9.48571428571429,121,"2013"
"14.000.000.000$!!!","3",9.77142857142857,79,"2014"
"140journos - Sikismislik","1",8.44,31,"2019"
"1491: The Untold Story of the Americas Before Columbus","1",7.88571428571429,84,"2017"
"15 - Det är mitt liv","4",4.7,7,"2013"
"15 Bishoujo Hyouryuuki","1",5.96666666666667,17,"2009"
"15 Days","1",6.575,151,"2019"
"15 Storeys High","1",8.13333333333333,344,"2002"
"15 Storeys High","2",8.08333333333333,261,"2004"
"15: A Quinceañera Story","1",7.45,60,"2017"
"16 and Pregnant","1",6.28333333333333,163,"2009"
"16 and Pregnant","2",6.025,51,"2010"
"16 and Pregnant","3",5.21666666666667,50,"2011"
"16 and Pregnant","4",5.88333333333333,45,"2012"
"16 and Pregnant","5",4.26666666666667,46,"2014"
"16 and Recovering","1",7,5,"2020"
"16 x Deutschland - Menschen - Orte - Geschichten","1",8.3,14,"2013"
"1600 Penn","1",6.5,858,"2012"
"1670","1",7.65,1846,"2023"
"16bit sensêshon: Another Layer","1",7.5,227,"2023"
"17 - o poveste despre destin","1",8.46,47,"2008"
"17 Kids and Counting","1",3.53,136,"2008"
"17 Kids and Counting","10",2.2,9,"2012"
"17 Kids and Counting","13",5.95,43,"2014"
"17 Kids and Counting","14",4,11,"2014"
"17 Kids and Counting","15",5,92,"2015"
"17 Kids and Counting","2",3.12,213,"2009"
"17 Kids and Counting","3",3.5,68,"2009"
"17 Kids and Counting","7",2.6,303,"2011"
"17 Selamanya","1",9.78571428571429,347,"2022"
"17 klostes","1",8.55,301,"2023"
"1703","1",6.31428571428571,52,"2022"
"18 - Allein unter Mädchen","1",6.9,45,"2004"
"18 - Allein unter Mädchen","2",6.8,23,"2007"
"18 Wheels of Justice","1",7.34285714285714,163,"2000"
"18 Wheels of Justice","2",7.525,61,"2001"
"18 to Life","1",7.33333333333333,228,"2010"
"18 to Life","2",7.73076923076923,216,"2011"
"180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?","1",4.55833333333333,100,"2021"
"180 Degree Longitude Passes Through Us","1",8.3,115,"2022"
"1864","1",6.45,1287,"2014"
"1883","1",8.54,40661,"2021"
"1899","1",7.975,40020,"2022"
"18If","1",5.81538461538462,101,"2017"
"19-2","1",7.96,1186,"2011"
"19-2","2",8.18,1442,"2013"
"19-2","3",8.04,858,"2015"
"19-2","4",8.2,381,"2017"
"1916","1",7.7,8,"2016"
"1916: The Irish Rebellion","1",7.56666666666667,34,"2016"
"1923","1",8.275,19482,"2022"
"1929, la crise","1",7.4,10,"2009"
"1939: Secrets of Hollywood's Golden Year","1",5.9,12,"2023"
"1942","1",6.68,30,"2023"
"1962: The War in the Hills","1",8.05,34,"2021"
"1966 FIFA World Cup","\N",9,11,"1966"
"1968: The Year That Changed America","1",7.7,156,"2018"
"1968mm","1",7.4,18,"2018"
"1969","1",7.26666666666667,183,"2019"
"1971: The Year That Music Changed Everything","1",7.5875,978,"2021"
"1975 World Series","\N",7.31666666666667,40,"1975"
"1976 Presidential Debates","1",7.4,6,"1976"
"1982 FIFA World Cup","\N",8.4,22,"1982"
"1983","1",6.95,1256,"2018"
"1985","1",7.925,661,"2023"
"1986","1",8.05384615384615,324,"2018"
"1986 FIFA World Cup","\N",7.88333333333333,65,"1986"
"1986 World Series","1",7.2,7,"1986"
"1986 World Series","\N",7.03333333333333,19,"1986"
"1989: The Year That Made Us","1",7.88333333333333,67,"2019"
"1990","1",7.5,113,"1977"
"1990","2",7.425,75,"1978"
"1990 FIFA World Cup","\N",7.4625,91,"1990"
"1990 World Series","1",7.4,24,"1990"
"1992","1",7.3,855,"2015"
"1993","1",7.375,360,"2017"
"1994","1",7.80769230769231,536,"2019"
"1994 FIFA World Cup","1",6.6,5,"1994"
"1994 FIFA World Cup","\N",7.9,96,"1994"
"1998 FIFA World Cup","1",7.8,16,"1998"
"1998 FIFA World Cup","\N",7.29666666666667,408,"1998"
"1999-2000 UEFA Champions League","\N",9.2,33,"1999"
"1pm Daily Update","2",8.8,37,"2020"
"1pm Daily Update","3",8.9,9,"2021"
"1pm Daily Update","4",9.2,158,"2021"
"1st & Ten","1",6.23076923076923,125,"1984"
"1st & Ten","2",5.8,72,"1986"
"1st & Ten","3",5.63846153846154,78,"1987"
"1st & Ten","4",6.42,40,"1988"
"1st Amendment Stand Up","3",7.2,6,"2008"
"1st Amendment Stand Up","\N",9.5,16,"2005"
"1st Look","1",7.7,32,"2011"
"2 Broke Girls","1",7.18333333333333,25773,"2011"
"2 Broke Girls","2",7.19166666666667,21451,"2012"
"2 Broke Girls","3",7.21666666666667,19196,"2013"
"2 Broke Girls","4",6.89090909090909,15285,"2014"
"2 Broke Girls","5",6.89545454545454,14034,"2015"
"2 Broke Girls","6",6.72272727272727,13006,"2016"
"2 Dope Queens","1",7.525,189,"2018"
"2 Dope Queens","2",7.425,91,"2019"
"2 Døgn","1",7.05,57,"2021"
"2 Døgn","2",6.6,5,"2022"
"2 Girls, 1 Cup: The Show","1",6.38,76,"2008"
"2 Good 2 Be True","1",7.2,10,"2022"
"2 Moons: The Series","1",7.125,55,"2017"
"2 Stupid Dogs","1",7.88461538461539,468,"1993"
"2 Stupid Dogs","2",7.61538461538461,368,"1994"
"2 Weeks","1",8.88125,209,"2013"
"2 for Flinching","1",8.7,7,"2014"
"2.43 Seiin Koukou Danshi Volley Bu","1",6.825,176,"2021"
"2.5-jigen no Ririsa","1",7.64444444444444,176,"2024"
"20 Dakika","1",9.616,26270,"2013"
"20 Seconds to Live","1",8.9,34,"2015"
"20 heures le journal","\N",6.36666666666667,88,"1999"
"20 seiki awâ","\N",5.45,31,"1968"
"20 to 1","1",4.4,19,"2005"
"20 to 1","2",4.8,19,"2006"
"20 to 1","3",6.825,140,"2006"
"20 to 1","4",6.9,54,"2007"
"20 to 1","5",6.7,24,"2007"
"20 to 1","8",5.55,36,"2009"
"20 to 1","9",7.6,26,"2010"
"20,000 Leagues Under the Sea","1",6.25,70,"1997"
"20/20","1",8.2,8,"1978"
"20/20","18",5.3,8,"1994"
"20/20","29",6.6,6,"2007"
"20/20","31",6.75,17,"2009"
"20/20","32",6.3,10,"2013"
"20/20","35",6.13333333333333,29,"2012"
"20/20","36",5.8,6,"2014"
"20/20","37",6.15,14,"2014"
"20/20","38",6.725,30,"2015"
"20/20","39",6.9578947368421,195,"2015"
