"nome_da_serie","startYear","endYear","total_votos","averageRating"
"12 Deadly Days","2016","2016",217,6
"12 Eylul","1998","1998",79,8.2
"12 Jahre, 3 Monate, 9 Tage - Die Jahreschronik des Dritten Reichs","2006","\N",5,7.6
"12 Mart: Ihtilalin Pencesinde Demokrasi","1994","1994",112,8.8
"12 Miles of Bad Road","2008","2008",263,7.8
"12 Monkeys","2015","2018",54079,7.8
"12 O'Clock High","1964","1967",4004,8.6
"12 corazones","2004","\N",5,8.2
"12 oz. Mouse","2005","2020",1113,7.4
"12 reci","2020","\N",1429,9.5
"12 stulev","1977","1977",201,8
"13 Demon Street","1959","1960",344,6.5
"13 Geboden","2017","2018",1457,7.1
"13 Klinicheskaya","2022","\N",60,6.8
"13 Mussoorie","2018","2018",16,6.8
"13 Nights of Elvira","2014","2014",542,6.3
"13 Reasons Why","2017","2020",180988,5.7
"13 Reasons Why: Beyond the Reasons","2017","2019",1919,7.1
"13 Steps Down","2012","2012",35,7
"13 posterunek","1997","\N",456,6.7
"13 posterunek 2","2000","\N",252,6.8
"13: Fear Is Real","2009","2009",109,5.3
"14 Tagebücher des Ersten Weltkriegs","2014","2014",172,8.3
"14 de abril. La República","2011","2019",6,6.8
"14.000.000.000$!!!","2013","2014",320,9.4
"140journos - Sikismislik","2019","2019",31,8.1
"1491: The Untold Story of the Americas Before Columbus","2017","\N",84,7.7
"15 - Det är mitt liv","2011","2013",7,4.7
"15 Bishoujo Hyouryuuki","2009","2011",17,7.3
"15 Days","2019","2019",151,6.7
"15 Storeys High","2002","2004",605,8.4
"15: A Quinceañera Story","2017","2017",60,7.3
"16 and Pregnant","2009","\N",355,7.5
"16 and Recovering","2020","\N",5,7
"16 x Deutschland - Menschen - Orte - Geschichten","2013","\N",14,8.3
"1600 Penn","2012","2013",858,5.4
"1670","2023","\N",1846,7.6
"16bit sensêshon: Another Layer","2023","2023",227,7.3
"17 - o poveste despre destin","2008","\N",47,8.2
"17 Kids and Counting","2008","2015",875,3
"17 Selamanya","2022","\N",347,9.7
"17 klostes","2023","2024",301,8.4
"1703","2022","\N",52,5.7
"18 - Allein unter Mädchen","2004","2007",68,6.9
"18 Wheels of Justice","2000","2001",224,7.1
"18 to Life","2010","2011",444,6.5
"180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?","2021","\N",100,5.4
"180 Degree Longitude Passes Through Us","2022","\N",115,8.5
"1864","2014","2014",1287,6.2
"1883","2021","2022",40661,8.6
"1899","2022","2022",40020,7.9
"18If","2017","2017",101,5.8
"19-2","2011","2015",932,7.7
"19-2","2014","2017",2935,7.7
"1916","2016","\N",8,7.7
"1916: The Irish Rebellion","2016","\N",34,7.7
"1923","2022","2023",19482,8.1
"1929, la crise","2009","\N",10,7.6
"1939: Secrets of Hollywood's Golden Year","2023","2023",12,5.6
"1942","2023","2023",30,6.8
"1962: The War in the Hills","2021","\N",34,8
"1966 FIFA World Cup","1966","1966",11,9
"1968: The Year That Changed America","2018","2018",156,7.9
"1968mm","2017","2018",18,7.5
"1969","2019","2019",183,7.4
"1971: The Year That Music Changed Everything","2021","2021",978,8.2
"1975 World Series","1975","\N",40,6.6
"1976 Presidential Debates","1976","\N",6,7.4
"1982 FIFA World Cup","1982","1982",22,8.8
"1983","2018","2018",1256,6.9
"1985","2023","2023",661,7.9
"1986","2018","2018",324,7.9
"1986 FIFA World Cup","1986","1986",65,8.6
"1986 World Series","1986","\N",26,7.2
"1989: The Year That Made Us","2019","2019",67,8
"1990","1977","1978",188,6.9
"1990 FIFA World Cup","1990","1990",91,6.7
"1990 World Series","1990","\N",24,7.3
"1992","2015","2015",855,7.5
"1993","2017","2017",360,7.3
"1994","2019","\N",214,8.1
"1994","2019","2019",322,7.5
"1994 FIFA World Cup","1994","1994",101,6.6
"1998 FIFA World Cup","1998","1998",424,7
"1999-2000 UEFA Champions League","1999","2000",33,8.3
"1pm Daily Update","2020","\N",204,8.3
"1st & Ten","1984","1991",315,6.3
"1st Amendment Stand Up","2005","2010",22,9.5
"1st Look","2011","2012",32,7.8
"2 Broke Girls","2011","2017",108745,7.2
"2 Dope Queens","2018","2019",280,7.2
"2 Døgn","2021","2022",62,7.2
"2 Girls, 1 Cup: The Show","2008","2008",76,6.8
"2 Good 2 Be True","2022","2022",10,8.4
"2 Moons: The Series","2017","\N",55,7.7
"2 Stupid Dogs","1993","1995",836,8.2
"2 Weeks","2013","2013",209,8.8
"2 for Flinching","2013","\N",7,8.7
"2.43 Seiin Koukou Danshi Volley Bu","2021","2021",176,7.5
"2.5-jigen no Ririsa","2024","\N",176,7.1
"20 Dakika","2013","2013",26270,9.5
"20 Seconds to Live","2015","\N",34,9
"20 heures le journal","1981","\N",88,7.7
"20 seiki awâ","1968","1969",31,6.3
"20 to 1","2005","2019",318,4.4
"20,000 Leagues Under the Sea","1997","1997",70,6.3
"20/20","1978","\N",5871,7.8
"20/20","1993","\N",6,6.6
"20/20 on ID","2011","\N",6,9
"20/20: The Interrogation Tapes","2024","\N",16,7.8
"2000 Jahre Christentum","2000","\N",82,6.7
"2000 Malibu Road","1992","1992",49,6.7
"2002 FIFA World Cup","2002","2002",495,7.6
"2002-2003 UEFA Champions League","2002","2003",5,9
"2003-2004 UEFA Champions League","2003","2004",5,7.8
"2004-2010 s Leonidom Parfyonovym","2020","2020",67,7.5
"2006 FIFA World Cup","2006","2006",625,7.6
"2006-2007 UEFA Champions League","2006","2007",12,7.9
"2007 ICC World Twenty20","2007","2007",26,9.7
"2007-2008 UEFA Champions League","2007","2008",18,6.7
"2008-2009 UEFA Champions League","2008","2009",24,6.2
"2009 World Series of Poker","2009","\N",147,9.2
"2009: A True Story","2008","\N",21,9.1
"2010 FIFA World Cup","2010","2010",1603,6
"2010 ICC World Twenty20","2010","2010",7,9
"2010-2011 UEFA Champions League","2010","2011",18,8.2
"2011 World Series","2011","\N",7,8.5
"2011-2012 UEFA Champions League","2011","2012",31,7.6
