"nome_da_serie","startYear","endYear","total_votos","averageRating"
"Escaping Utopia","2024","2024",27,8.3
"Escaype Live","2022","\N",178,7.1
"Escenario 0","2020","2020",142,7.2
"Escobar by Escobar","2022","\N",7,7.3
"Escola de Gênios","2018","\N",5,8
"Escort Boys","2023","\N",231,7.2
"Escorting the Heiress","2024","2024",12,9.8
"Escrava Isaura","1976","1977",27,7.1
"Escríbeme una serie","2015","\N",36,8.8
"Escuela Nocturna","2014","\N",164,9.4
"Escándalo, relato de una obsesión","2023","2023",107,6.7
"Eser Yenenler Show","2018","2020",40,5.3
"Eski Hikaye","2013","2014",47,2.9
"Eskiya Dünyaya Hükümdar Olmaz","2015","2021",3627,9.3
"Esmeralda","1997","1997",16,8.7
"Esmeraldas","2015","\N",7,9.9
"Esperanza mía","2015","2016",7,8.1
"Esperança","2020","\N",161,9.4
"Esperimento incredibile","2019","2020",109,4.8
"Espionage","1963","1964",221,7.2
"Esprit d'hiver","2022","2022",69,5.3
"Essex County","2023","2023",76,8.5
"Esta ambición desmedida","2024","2024",24,6.8
"Estas Secretarias","2013","2015",5,9.8
"Estate of Panic","2008","\N",33,4.9
"Esterno notte","2022","2022",447,7.9
"Esti showder","1999","\N",8,6.8
"Estocolmo","2016","2016",149,6.8
"Estonia","2023","\N",373,7.1
"Estonia - funnet som endrer alt","2020","2022",369,8.5
"Estoy vivo","2017","\N",1635,7.3
"Estrambótica Anastasia","2004","\N",8,8.7
"Estudio 1","1965","2016",412,4.3
"Esutabu Raifu Gureito Eukepu","2022","\N",48,6.1
"Etaten","2006","\N",80,7.3
"Eternal Law","2012","2012",147,6.3
"Eternally Confused and Eager for Love","2022","\N",353,7.5
"Eternals","2014","\N",61,7.2
"Eteros ego","2019","2023",4991,8.6
"Etheria","2020","\N",265,5.2
"Ethniki Ellados","2015","2015",146,7.7
"Etkileyici","2021","2023",141,8.1
"Etot fantasticheskiy mir","1979","1990",47,5.8
"Etsijät","2023","2023",49,7
"Ett herrans liv","2006","\N",53,6.3
"Ett litet rött paket","1999","1999",15,7.4
"Etterglød","2022","\N",75,6.7
"Ettor nollor","2014","2014",35,6.3
"Eu, a Vó e a Boi","2019","2019",5,6.2
"Euer Ehren","2022","2022",182,7.5
"Eugenie Nights","2018","2018",12,8.8
"Eulachacha Waikiki","2018","2019",1112,7.9
"Eung-dab-ha-ra 1994","2013","2013",303,6.8
"Eung-dab-ha-ra 1997","2012","2013",283,6.8
"Eungdaphara 1988","2015","2016",3420,8
"Eunggeubnamnyeo","2014","2014",192,8
"Euphoria","2012","2013",53,8
"Euphoria","2019","\N",139000,8.9
"Euphoria","2011","2016",176,8.1
"Eureka","2006","2012",40224,7.9
"Eureka: Hide and Seek","2006","2006",174,6.3
"Eurocops","1988","1994",16,6.7
"Eurogarðurinn","2020","\N",18,7.4
"Europarty","1967","1970",15,9
"Europe from Above","2019","\N",1497,8.1
"Europe's Forgotten Dictatorships","2021","2021",21,6.6
"Europe's New Wild","2021","\N",58,7.4
"Europe, un continent bouleversé","2022","2022",32,7
"Europe: A Natural History","2005","2005",44,6.9
"Eurotika!","1999","\N",251,6.7
"Eurovision Song Contest Liverpool 2023","2023","2023",216,7.3
"Eurovision Song Contest Malmö 2024","2024","2024",198,7.1
"Eurovision Song Contest Rotterdam 2021","2021","2021",243,7.8
"Eurovision Song Contest Turin 2022","2022","2022",185,7.1
"Eurovision Song Contest: Selectia nationala","1994","\N",8,5.8
"Eva & Adam","1999","2001",288,7.2
"Eva Braun, images intimes","2007","2007",57,7.1
"Eva Jinek op zondag","2011","\N",14,1
"Eva Lasting","2023","\N",1112,7.8
"Eva Longoria: Searching for Mexico","2023","\N",205,8.2
"Eva Luna","2010","2011",17,8.5
"Eva the Owlet","2023","\N",6,7
"Evacuation","2023","\N",39,8.2
"Evan Goes Wild","2019","2019",11,8.4
"Evaru Meelo Koteeswarulu","2021","\N",40,9.6
"Evasive Inquiry Agency","2007","\N",213,7.8
"Eve","2003","2006",908,7.6
"Eve","2022","2022",772,8.7
"Eve","2015","2016",354,6.9
"Eve no jikan","2008","2009",160,7.3
"Eve of Destruction","2013","2013",60,5.7
"Evel","2020","\N",5,7
"Even Closer: Hautnah","2021","\N",48,6
"Even Further Abroad","1997","1999",10,7.8
"Even Stevens","2000","2003",4174,8.6
"Even Sun","2022","2022",9,9.1
"Even tot hier","2019","\N",5,7.4
"Evening Shade","1990","1994",1535,7.1
"Evening at Pops","1970","\N",27,2.8
"Ever After High","2013","2017",1080,8.4
"Ever Decreasing Circles","1984","1989",2255,8.4
"EverReady","2016","2016",43,9.9
"Everest","2007","2007",24,6
"Everest: Beyond the Limit","2006","2009",299,7.9
"Everglades!","1961","1962",21,5.7
"Evermoor","2014","\N",346,7.2
"Everwood","2002","2006",9021,8
"Every Frame a Painting","2014","2016",590,7
"Every Week Has a Friday","2020","\N",725,8.2
"Every Witch Way","2014","2023",2100,6.3
"Every [Blank] Ever","2015","2022",7,7.4
"Everybody Hates Chris","2005","2009",22783,7.5
"Everybody Loves Diamonds","2023","\N",195,6.9
"Everybody Loves Raymond","1996","2005",107831,7.6
"Everyday","1978","\N",6,8.4
"Everyday Driver","2017","\N",262,9.1
"Everyday Miracles: The Genius of Sofas, Stockings and Scanners","2014","2014",54,7.3
"Everyman","1977","\N",156,8.3
"Everyone Else Burns","2023","\N",508,6.6
"Everyone Is Doing Great","2018","\N",308,7.8
"Everyone Wants Theirs","2011","2012",107,9.2
"Everyone is F*cking Crazy","2023","\N",5,6.8
"Everything Butt","2009","\N",13,8.7
"Everything Expunged","2024","\N",5,9.6
"Everything I Know About Love","2022","2022",473,7.3
"Everything Now","2023","2023",1199,6.7
"Everything She Ever Wanted","2009","\N",37,6.5
"Everything Sucks!","2018","2018",5597,7.1
"Everything Will be Fine","2021","2021",160,6.8
"Everything Wrong with...","2012","\N",8325,5.6
"Everything and Nothing","2011","2011",117,8.6
"Everything's Gonna Be All White","2022","2022",1258,1.6
"Everything's Gonna Be Okay","2020","2021",1697,7.5
"Everything's Trash","2022","2022",208,6.9
"Evidence of the Unexplained","2022","\N",52,7.4
"Evil","2019","2024",42297,7.2
"Evil Con Carne","2003","2004",250,8.5
"Evil Encounters","2017","\N",85,8
"Evil Genius","2017","\N",44,7.3
"Evil Genius: The True Story of America's Most Diabolical Bank Heist","2018","2018",3345,8.1
"Evil Kin","2013","2016",192,7.3
"Evil Lives Here","2016","\N",6578,7.4
"Evil Lives Here: Shadows of Death","2020","\N",576,7.8
"Evil Lives Here: The Killer Speaks","2023","\N",147,8
"Evil Stepmothers","2016","\N",148,6.8
"Evil Talks: Chilling Confessions","2018","\N",118,5.7
"Evil Things","2017","\N",128,7.2
"Evil Touch","2019","\N",60,7.4
"Evil Twins","2012","\N",59,6.2
"Evil Up Close","2012","\N",25,7.8
"Evil by Design: Exposing Peter Nygård","2022","2022",25,7.9
"Evil, I","2012","\N",80,7.1
"Evil-in-Law","2013","2014",16,9
"Evilive","2023","\N",183,8.5
"Evli ve Öfkeli","2015","2016",17,3.4
"Evlilik Hakkinda Her Sey","2021","2022",296,8.1
"Evolution","2002","2002",151,8.2
"Evolution Earth","2023","\N",89,8.2
"Evolution of Evil","2015","2015",184,6.8
"Evolve","2008","\N",104,7.6
"Evolve","2021","\N",56,8
"Evolve Wrestling","2010","2020",13,6.8
"Evolved","2018","\N",489,8.5
"Evolving Vegan","2023","\N",57,8.2
"Evy & Alltid","2023","\N",40,6.3
"Ewan McGregor: Cold Chain Mission","2012","\N",7,8.9
"Ex Askim","2021","2021",345,5.1
"Ex on the Beach","2014","\N",806,5.2
"Ex on the Beach","2018","\N",763,6.9
"Ex-Arm","2021","2021",351,3.4
"Ex-S","1990","\N",24,7
"Ex-onnelliset","2016","\N",101,7.8
"Exakt - Die Story","2009","\N",10,6.4
"Examen de conciencia","2019","2019",34,8
"Exandria Unlimited","2021","2022",676,6.2
"Exantas","2000","\N",41,8.3
"Exapsi","2021","2021",27,10
"Exatlon Türkiye","2020","2020",290,4.6
"Exatlón México","2017","\N",15,8.2
"Excellent Entities","2013","\N",15,5.3
"Except Me","2020","\N",6,7.8
"Exception","2022","\N",401,7
"Exclusif","2000","\N",91,5
"Exclusiv - Das Star-Magazin","1994","\N",92,1.8
"Exclusive Fairytale","2023","2023",73,9.4
"Excursões Air Lino","2018","2018",88,7.2
"Excused","2011","2013",2017,8.9
"Executed with Deborah Norville","2019","\N",34,8
"Executive Stress","1986","1988",134,6.6
"Exen","2023","\N",8,5.7
"Exes & Ohs","2007","2011",10,7.4
"Exhibit A","2019","2019",401,6.3
"Exhibit A: Secrets of Forensic Science","1997","2001",397,7.6
"Exhumed","2021","\N",174,7.7
"Exile","2011","2011",252,7.6
"Exile","2010","\N",7,8.4
"Exit","2019","2023",4244,7.8
"Exit 57","1995","1996",57,6.6
"Exodus","2022","2023",307,6.5
"Exodus: Our Journey to Europe","2016","\N",27,6.8
"Exosquad","1993","1995",636,9.7
"Expats","2023","2024",2612,7
"Expecting Amy","2020","2020",138,7.3
"Expedition Africa","2009","\N",9,7.4
"Expedition Bigfoot","2019","\N",1020,7.1
"Expedition Borneo","2007","\N",18,7.6
"Expedition Deep Ocean","2021","\N",66,7.7
"Expedition Impossible","2011","2011",89,8
"Expedition Mungo","2017","2017",23,6.2
"Expedition Unknown","2015","\N",9930,7.3
"Expedition Unknown: Hunt for ExtraTerrestrials","2017","2017",117,7.8
"Expedition Volcano","2017","2017",12,7.1
"Expedition Week","2011","\N",345,6.2
"Expedition X","2020","\N",2097,5.8
"Expedition from Hell: The Lost Tapes","2024","\N",83,8.4
"Expedition with Steve Backshall","2019","2022",196,6.9
"Expedition: Back to the Future","2021","2021",158,8.5
"Expeditionen ins Tierreich","1965","\N",17,6.5
"Expeditions to the Edge","2004","\N",83,8
"Expert Witness","2021","\N",15,8.4
"Expert-studiya","2012","\N",14,2.4
"Expiry Date","2020","\N",90,7.8
"Explained","2018","2021",15713,8
"Exploding Kittens","2024","\N",1435,6.7
"Explore TV","2009","\N",27,9.2
"Explorer","2015","\N",94,7.7
"Explorers: Adventures of the Century","2013","\N",24,8.8
"Exploring Quantum History with Brian Greene","2015","\N",16,8.6
"Exposed","2007","\N",646,9.8
"Exposed","2017","2018",5,6
"Exposed: Naked Crimes","2023","\N",35,5.4
"Exposed: The Church's Darkest Secret","2020","2020",6,8.6
"Exposed: The Ghost Train Fire","2021","\N",128,8.1
"Exposure","2000","2001",12,2.1
"Exposure","2024","\N",28,6
"Express","2022","2023",170,7.1
"Extant","2014","2015",10169,7.3
"Extended Family","2023","2024",1271,6.7
"Exterminadores do Além","2021","\N",78,8.5
"Exterminate All the Brutes","2021","2021",761,7.7
"Extinct","2001","2001",53,7.1
"Extinct","2017","2017",619,7.7
"Extinct or Alive","2018","\N",302,8.9
"Extr@","2002","2004",60,6.8
"Extra","1994","\N",645,5.4
"Extra - Das RTL Magazin","1994","\N",57,9.9
"Extra Drei","1976","\N",245,7
"Extra Gear","2016","\N",161,6.9
"Extra Life: A Short History of Living Longer","2021","\N",45,8.5
"Extra Olympia Kyklos","2020","\N",162,7
"Extra Terrestres","2015","\N",5,10
"Extracurricular","2020","2020",1678,7.2
"Extraktori","2023","2023",18,6.9
"Extraordinary","2023","\N",5682,7.7
"Extraordinary Birder with Christian Cooper","2023","\N",103,7.7
"Extraordinary Escapes","2021","\N",133,7
"Extraordinary Extensions","2021","\N",12,7.4
"Extraordinary People","2003","\N",902,7.5
"Extraordinary Rituals","2018","\N",28,6.9
"Extraordinary Women","2011","\N",54,6.7
"Extrapolations","2023","2023",4890,6.6
"Extras","2005","2007",17077,7.7
"Extraterrestrial","2005","2005",16,5.9
"Extreme","1995","1995",22,8.5
"Extreme","2009","\N",12,8.5
"Extreme Animal Obsessions","2013","\N",11,7.1
"Extreme Archaeology","2004","2004",6,8.5
"Extreme Cheapskates","2011","2014",1132,6
"Extreme Couponing","2011","\N",373,6.9
"Extreme Dinosaurs","1997","1997",21,8.5
"Extreme Engagement","2019","2019",62,6.9
"Extreme Engineering","2003","\N",548,7.4
"Extreme Forensics","2008","2019",161,7.7
"Extreme Ghost Stories","2006","\N",6,6.6
"Extreme Ghostbusters","1997","1997",1776,6.2
"Extreme Hearts","2022","2022",5,5.8
"Extreme Machines","1998","1999",5,5.4
"Extreme Makeover: Home Edition","2003","2020",1144,7.8
"Extreme Makeover: Weight Loss Edition","2011","\N",182,7.8
"Extreme Measures","2018","2019",34,7
"Extreme Paranormal","2009","\N",26,7.2
"Extreme Trains","2008","\N",72,8.4
"Extreme Unboxing","2020","\N",13,5
"Extremely Dangerous","1999","1999",75,7.1
"Extremos da Cidade","2014","\N",24,5.8
"Eye Candy","2015","2015",2291,7
"Eye Love You","2024","2024",15,5.6
"Eye of the Storm","1993","1993",37,8.3
"Eye on Entertainment","2005","\N",5584,8.9
"Eye on L.A.","1980","2019",6,7.7
"Eyeball Poetry","2018","\N",81,8.9
"Eyes","2005","2007",188,8.4
"Eyes Down","2003","2004",32,7.6
"Eyes on the Prize","1987","1990",397,8.5
"Eyeshield 21","2005","2008",538,7.7
"Eyewitness","1994","\N",62,5.4
"Eyewitness","2016","2016",2544,7.6
"Ezel","2009","2011",18150,8.8
"Ezuoju 2 wen","2007","2008",7,9
"F Is for Family","2015","2021",25182,7.6
"F Troop","1965","1967",4103,7.5
"F*** You Very, Very Much","2021","2023",172,6.8
"F.A.T.H.E.R.S.","2017","\N",166,7.4
"F.C. De Kampioenen","1990","2020",5856,7.6
"F.I.R.","2006","\N",5,7.8
"F.L. Vek","1971","\N",12,7.8
"F/X: The Series","1996","1998",346,7.2
"F1 Legends","2012","2014",10,8.2
"F2 Chasing the Dream","2020","2024",11,6.8
"F2: Forensic Factor","2003","\N",312,7.8
"F4 Thailand: Boys Over Flowers","2021","2022",4707,7.3
"FBI","2018","\N",48850,7.9
"FBI - Francesco Bertolazzi investigatore","1970","\N",5,6.2
"FBI Takedowns","2015","\N",21,8.4
"FBI True","2023","\N",789,7.6
"FBI: Criminal Pursuit","2011","\N",565,7.2
"FBI: International","2021","\N",12739,7.4
"FBI: Most Wanted","2020","\N",25602,7.2
"FBOY Island Australia","2023","2023",62,3.5
"FBoy Island","2021","2023",871,6.4
"FBoy Island España","2023","\N",6,5.5
"FC Barcelona: A New Era","2022","\N",268,8.3
"FC Bayern: Behind the Legend","2021","2021",500,8.1
"FC Bayern: Generation Wembley","2023","\N",118,8.9
"FC FaceTime","2014","\N",39,9.3
"FC Rückpass","2010","\N",5,6.8
"FDR","2023","\N",117,8.2
"FETCH! with Ruff Ruffman","2006","2010",226,7.4
"FIFA Club World Cup 2019","2019","2019",10,6.4
"FIFA Club World Cup Morocco 2014","2014","2019",7,6
"FIFA Confederations Cup Brazil 2013","2013","\N",67,7.3
"FIFA Uncovered","2022","2022",1199,7.5
"FLCL","2000","2001",2516,7.8
"FLCL Grunge","2023","2023",101,4.8
"FLCL Progressive","2018","2018",253,6.2
"FLCL Shoegaze","2023","2023",74,6
"FM","2009","2009",106,7.9
"FRO Thizzle Reviews","2022","\N",1818,8.6
"FUBAR","2023","\N",9678,6.8
"FX Movie Download","2014","\N",24,9.1
"FX's American Horror Story: Apocalypse After Show","2018","\N",35,7.6
"FX's American Horror Story: Cult After-Show","2017","2017",7,8
"Faadu - A Love Story","2022","\N",209,8.3
"Fabian of the Yard","1954","1956",16,7
"Fabio Montale","2001","\N",118,7.8
"Fabrika zvezd","2002","\N",13,3
"Fabulous Lives of Bollywood Wives","2020","\N",443,3.6
"Face Off","2011","2018",5362,7.7
"Face and Back","2022","2022",215,7.9
"Face the Beast","2019","2019",5,7.4
"Face to Face","1959","1962",92,7.9
"Face to Face with 'Weird Al' Yankovic","2012","2012",5,8.6
"Face to Face with Scott Peterson","2024","2024",60,7.2
"Face à face","2021","\N",218,6.9
"Facejacker","2010","\N",84,8.3
"Faceless Love","2023","2023",13,8.9
"Faces of America with Henry Louis Gates Jr.","2010","2010",17,7.6
"Faces of Earth","2007","\N",12,6.8
"Facing","2016","2016",200,7.6
"Facing Evil","2010","\N",157,8.1
"Fact or Faked: Paranormal Files","2010","2012",835,7
"Fact or Fiction","2001","2004",92,6.7
"Factcheckers","2019","\N",5,7.4
"Factory","2008","2008",5,7.2
"Factory Made","2008","\N",20,7.6
"Faerie Tale Theatre","1982","1987",5509,6.6
"Faia emuburemu","1995","\N",7,8.6
"Fainaru fantajî","1994","1994",18,5.2
"Fainaru fantajî XIV: Hikari no otousan","2017","2017",142,7.2
"Fair City","1989","\N",12,9
"Fair Trade","2021","\N",323,7.9
"Fairfax","2021","2022",497,6.7
"Fairly Legal","2011","2012",2782,7.5
"Fairly Secret Army","1984","1986",25,6.6
"Fairview","2022","2022",269,2.6
"Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu","2021","\N",8,7.6
"Fairy Tail","2009","2019",60234,8.7
"Fairy Tail OVA Series","2011","2016",108,7.4
"Fairy Tail: 100 Years Quest","2024","\N",2246,7.8
"Fairy Tale Police Department","2001","2005",9,6.9
"Fairy Tales","2008","\N",269,6.6
"Fairy gone","2019","2019",454,7
"Fais pas ci, fais pas ça","2007","2017",1272,7.6
"Faites entrer l'accusé","2002","\N",2799,7.4
"Faith in the Future","1995","1998",108,5.6
"Faithful Word Baptist Church","2007","\N",23,3.7
"Faithless","2024","\N",43,7
"Faito ippatsu! Jûden chan!!","2009","2009",77,5.4
"Faits divers","2017","2020",15,5.8
"Faits divers, l'Histoire à la une","2016","2017",51,7.8
"Fake","2024","\N",150,7.5
"Fake Driving School","2017","\N",25,9.2
"Fake Hostel","2017","\N",29,9.1
"Fake Taxi","2012","\N",53,6.8
"Fake or Fortune?","2010","\N",1101,7.9
"Fakehub Originals","2017","\N",5,9.8
"Fakes","2022","2022",586,7.7
"Faking Bad - Besser als die Wahrheit","2024","\N",7,4.7
"Faking Hitler","2021","2021",265,7.2
"Faking It","2000","\N",14,9.2
"Faking It","2014","2016",6737,7.9
"Faking It: Tears of a Crime","2017","\N",570,7
"Fakta homma","1986","1998",14,9
"Fala zbrodni","2003","2008",7,8.5
"Falco","2013","2016",582,7.7
"Falco","2018","\N",142,7.8
"Falcon Beach","2006","2007",333,7.9
"Falcon Crest","1981","1990",9252,7.7
"FalconCast","2014","\N",19,8.5
"Falcón","2012","2013",196,6.5
"Falk","2017","\N",182,5.3
"Fall","2022","\N",67,7
"Fall River","2021","2021",894,7.5
"Fall in Love with Me","2014","\N",6,8.5
"Fall of Eagles","1974","1974",524,8.1
"Fallen","2007","2007",394,8.1
"Fallen","2024","\N",796,7.5
"Fallen Angel","2007","2007",68,7.1
"Fallen Angels","1993","1996",980,6.7
"Fallen Angels","1997","1997",6,7.5
"Fallen Idols: Nick and Aaron Carter","2024","2024",142,6.8
"Fallen Titans","2018","2020",23,8.3
"Fallet","2017","\N",633,7
"Falling Skies","2011","2015",38867,6.8
"Falling Water","2016","2018",2597,7.2
"Falling for Angels","2017","\N",131,7.1
"Fallout","2024","\N",93975,8.2
"Fallout: Nuka Break","2011","\N",191,7.1
"Fallout: Red Star","2013","\N",12,8.3
"Fallout: Revelation","2016","\N",10,8.6
"Falsa Identidad","2018","\N",73,7.7
"Falso amor","2023","2023",70,5.2
"Fam","2019","2019",1759,6.5
"Famagusta","2024","\N",5554,4.1
"Famalam","2018","\N",76,8.4
"Fame","1982","1987",3383,6.8
"Fame L.A.","1997","1998",972,9.3
"Fameless","2015","\N",133,4.7
"Familiata","2013","2014",7,9.5
"Familie","1991","\N",18,7
"Familie Anders","2023","\N",17,4.9
"Familie Backeljau","1994","1997",461,7.6
"Familie Braun","2016","2016",439,7.2
"Familie Bundschuh","2015","\N",721,6.5
"Familie Dr. Kleist","2004","2020",76,5.6
"Familie Heinz Becker","1992","2004",875,8
"Familie Kruys","2015","2019",247,7.7
"Familie Sonnenfeld","2005","2009",31,4
"Familie!","2016","\N",29,5.1
"Familien Lykke","2020","\N",57,4.3
"Families","1990","1993",7,8.9
"Families of the Mafia","2020","2021",43,8.1
"Familijata Markovski","2017","\N",5,10
"Familjen Andersson","2023","\N",92,5.5
"Family","1976","1980",3689,8.2
"Family","1994","\N",15,9
"Family Aaj Kal","2024","\N",52,7.6
"Family Affair","1966","1971",6251,7.9
"Family Affair","2002","2003",138,8.4
"Family Album","1994","1994",21,7
"Family Biz","2009","\N",6,8
"Family Business","2003","2006",23,7.5
"Family Business","2004","2004",11,9
"Family Business","2019","2021",1745,6.7
"Family Dinner","2021","\N",13,7.2
"Family Dog","1993","1993",99,7
"Family Feud","1976","1985",354,7.1
"Family Feud","1988","1995",27,7.6
"Family Feud","1999","\N",320,7.4
"Family Food Fight","2019","2019",8,6.1
"Family Fortunes","1980","2023",6,6.2
"Family Gal","2022","\N",21,2.8
"Family Game Fight","2021","2022",69,6.2
"Family Guy","1999","\N",684279,7.5
"Family Karma","2020","\N",170,6.7
"Family Law","1999","2002",808,7.8
"Family Law","2021","\N",2584,7.8
"Family Massacre","2021","\N",111,7.3
"Family Matter","2021","2023",1062,7.9
"Family Matters","1989","1998",28453,6.8
"Family Outing","2008","2010",6,9.3
"Family Pictures","1993","1993",13,6.8
"Family Plots","2004","\N",14,8.3
"Family Reunion","2019","2022",2397,7.4
"Family Sized","2020","\N",34,7.2
"Family Strokes","2015","\N",120,6.8
"Family Swap","2020","\N",44,5.8
"Family Theatre","1949","1958",260,7.3
"Family Therapy","2014","\N",9,6
"Family Therapy with Dr. Jenn","2016","2016",10,6.9
"Family Ties","1982","1989",23972,7
"Family Time","2012","\N",47,7.7
"Family Time with Kapil Sharma","2018","\N",32,4.2
"Family Tools","2013","2013",175,5.7
"Family Tree","2013","2013",888,6.6
"Family Values","2015","\N",58,3.4
"Family Values: The Rise of Anthony Morelli","2017","2018",18,8.5
"Family by the Ton","2018","\N",44,5.9
"Family of Spies","1990","1990",7,7.2
"Family of the Year","2007","\N",22,8.9
"Famoso","2013","2020",9,7.6
"Famous Families","1998","\N",19,8.8
"Famous Homes & Hideaways","2000","2004",101,1
"Famous in Love","2017","2018",2350,7.1
"Famously Afraid","2019","\N",17,8.7
"Famously Single","2016","2017",44,7
"Fan Questions","2021","\N",1573,4.6
"Fan Wars","2012","\N",6,5.4
"Fan hua","2023","\N",298,7.9
"Fan xiao","2020","\N",128,7.7
"Fanboy & Chum Chum","2009","2014",2021,4.6
"FanboyFlicks - Weird Movies with Mark","2011","\N",30,7
"Fancy Nancy","2018","2022",59,6
"Fandom","2021","2022",11,6.9
"Fandorin. Azazel","2023","2023",83,6.6
"Fangar","2017","2017",169,6.5
"Fangavaktin","2009","2009",74,8.4
"Fangbone!","2014","\N",177,6.2
"Fanny Hill","2007","2007",77,6.8
"Fanny och Alexander","1983","1983",1193,8.5
"Fanren Xiu Xian Chuan","2020","\N",40,8.5
"Fantadroms","1985","1995",5,6.6
"Fantaghirò","1991","1996",6979,7.4
"Fantasmagoria","2020","\N",133,9.9
"Fantasmagorias","2017","2019",176,6.2
"Fantasmas","2024","\N",666,7.7
"Fantastic 4","1967","1968",764,7.3
"Fantastic Children","2004","2005",141,7
"Fantastic Forum","2007","\N",6,8.6
"Fantastic Four","1994","1996",3780,7.3
"Fantastic Four: Remutations","2018","\N",28,9.3
"Fantastic Four: World's Greatest Heroes","2006","2010",1926,7
"Fantastic Friends","2022","\N",92,8.4
"Fantastic Voyage","1968","1969",224,7.2
"Fantasy Bishoujo Juniku Ojisan to","2022","2022",475,7.4
"Fantasy Factory","2009","\N",482,6.1
"Fantasy Island","1977","1984",11357,6.6
"Fantasy Island","1998","1999",309,7.6
"Fantasy Island","2021","2023",4557,6.6
"FantomWorks","2013","2019",447,9.1
"Fantomcat","1995","1996",14,8.3
"Fantástico","1973","\N",107,7.6
"Fantômas","1980","1980",204,6.6
"Fanático","2022","\N",103,7.5
"Fapad","2014","2015",36,7.9
"Far Away","2022","2022",16,6.7
"Far Eastern Odyssey","2009","\N",58,8
"Far North","2023","\N",120,7.2
"Far Out Space Nuts","1975","1976",114,6.6
"Far from Home","2022","\N",93,8.4
"Farang","2017","2017",375,7
"Faraway Downs","2023","2023",970,7.4
"Fargo","2014","2024",343734,7.2
"Fariña","2018","2018",1303,7.8
"Farliga gatan","2018","2018",38,5.4
"Farmacia de guardia","1991","1996",601,7
"Farmed and Dangerous","2013","2014",34,7.7
"Farmer Wants A Wife","2023","\N",261,8.4
"Farmhouse Fixer","2021","\N",138,7.6
"Farmhouse Fixer: Camp Revamp","2024","2024",32,8.4
"Farouk Omar","2012","2012",3670,8.8
"Farscape","1999","2003",71034,8
"Farscape: The Peacekeeper Wars","2004","2004",357,8.2
"Fartblinda","2019","\N",721,6.5
"Fartsa","2015","\N",10,7.1
"Fary: Hexagone","2020","\N",25,7.4
"Farzar","2022","2022",1230,5.9
"Farzi","2023","\N",7648,8.1
"Farzi Mushaira","2022","\N",184,8.7
"Fashion File","1989","\N",13,2.1
"Fashion House","2006","\N",293,7.4
"Fashion Police","2002","\N",71,4.4
"Fashion in Focus","2003","\N",15,1.1
"Fashion weekend","2013","\N",25,6.6
"Fashion!","2012","2012",10,8.1
"Fast & Furious Spy Racers","2019","2021",3068,6.6
"Fast Foodies","2021","\N",296,7.4
"Fast Layne","2019","2019",127,7.7
"Fast N' Loud: Demolition Theater","2014","2018",25,5.5
"Fast Times","1986","1986",80,5.6
"Fast Track","1997","\N",36,7.8
"Fast n' Loud","2012","\N",1875,8.3
"Fast wia im richtigen Leben","1979","\N",124,9.1
"Faster! Humanity's Quest to Save Time","2022","\N",33,7
"Fastest Car","2018","2019",678,6.6
"Fastlane","2002","2003",1300,7.8
"Fat Actress","2005","2005",302,6.9
"Fat Albert and the Cosby Kids","1972","1985",488,6.8
"Fat Chance","2016","2016",50,2.3
"Fat Friends","2000","2005",423,7.2
"Fat Guy Stuck in Internet","2007","2008",7,9.4
"Fat Guys in the Woods","2014","\N",112,7.7
"Fat Pizza: Back in Business","2019","2021",104,8.1
"Fat Tony & Co","2014","2014",137,8.2
"Fat-Pie","2002","2004",5,7.2
"Fatal Attraction","2023","2023",1681,6.7
"Fatal Attraction","2013","\N",381,9.8
"Fatal Attractions","2010","\N",44,7.7
"Fatal Crossing","2023","\N",196,6.4
"Fatal Encounters","2012","2013",216,8.3
"Fatal Family Feuds","2023","\N",87,7.2
"Fatal Frontier: Evil in Alaska","2021","\N",12,7.1
"Fatal Seduction","2023","\N",718,7.6
"Fatal Vision","1984","1984",52,8.1
"Fatal Vows","2012","\N",312,7.2
"Fatale-Station","2016","\N",130,5.8
"Fate/Apocrypha","2017","2017",1667,7
"Fate/Extra Last Encore","2018","2018",487,6.7
"Fate/Grand Carnival","2020","2021",12,8.1
"Fate/Grand Order","2016","2021",13,9.5
"Fate/Grand Order: Zettai Maju Sensen Babylonia","2019","2020",1521,6.1
"Fate/Stay Night: Heaven's Feel","2017","2020",143,9.4
"Fate/Zero","2011","2012",12382,9
"Fate/kaleid liner Prisma Illya","2013","\N",286,6.2
"Fate/kaleid liner Prisma Illya 2wei","2014","\N",171,6.2
"Fate/kaleid liner Prisma Illya 2wei! Herz!","2015","\N",130,6.1
"Fate/kaleid liner Prisma Illya 3rei","2016","\N",128,5.9
"Fate/stay night","2006","2006",2675,6.7
"Fate/stay night: Unlimited Blade Works","2014","2015",7266,8.2
"Fate: The Winx Saga","2021","2022",12522,7.1
"Fated to my Forbidden Alpha","2023","\N",30,9.2
"Fated to the Alpha","2024","\N",21,9
"Faten Amal Harby","2022","2022",151,6.2
"Fath Al-Andalus","2022","\N",8,9.6
"Father & Son","2009","\N",48,8.2
"Father Brown","1974","1974",885,7.7
"Father Brown","2013","\N",43579,7.8
"Father Dowling Mysteries","1989","1991",2344,7.3
"Father Figure","2013","\N",6,5.2
