"titulo_serie","temporada","rating_temporada"
"100-man no Inochi no Ue ni Ore wa Tatte Iru","1",6.88333333333333
"100-man no Inochi no Ue ni Ore wa Tatte Iru","2",6.80833333333333
"1000 Ways to Die","1",6.50833333333333
"1000 Ways to Die","2",6.70833333333333
"1000 Ways to Die","3",6.98571428571429
"1000 Ways to Die","4",7.33125
"1000 Ways to Die","5",7.53333333333333
"1000 Ways to Die","6",8
"1000 Ways to Die","8",7.4
"1000 Ways to Die","\N",8.61428571428571
"1000 Years Old","1",6.8
"1000-lb Best Friends","1",6.21666666666667
"1000-lb Best Friends","2",7.4
"1000-lb Sisters","1",6.46666666666667
"1000-lb Sisters","2",7.15
"1000-lb Sisters","3",7.525
"1000-lb Sisters","4",7.44
"1000-lb Sisters","5",8.33333333333333
"1000Stars","1",9.47
"100man-kai ieba yokatta","1",8.1
"101 Battalion","1",6.9
"101 Dalmatian Street","1",7.79615384615385
"101 Dalmatian Street Shorts","\N",6.23333333333333
"101 Dalmatians: The Series","1",6.13538461538462
"101 East","12",8.6
"101 East","6",6.5
"101 Lições de Cinema","1",10
"101 Places to Party Before You Die","1",8.1875
"101 Ways to Leave a Game Show","1",6.6
"103 Gol","1",9.05
"106 & Park Top 10 Live","\N",5.8
"1066","1",7.1
"1066: A Year to Conquer England","1",7.16666666666667
"10i entoli","1",8.03103448275862
"10i entoli","2",8.07058823529412
"10i entoli","3",8.18666666666667
"10i entoli","4",8.08181818181818
"10i entoli","5",6.6
"10x10","5",6.6
"10x10","9",5.8
"11 Eyes","1",5.56153846153846
"11 Minutes","1",7.725
"11 Shots","1",7.4
"11 Uhr 20","1",7.56666666666667
"11-11 En mi cuadra nada cuadra","1",9
"11.22.63","1",8.1625
"112 Aina","1",7.775
"1122 Ii Fuufu","1",7.9
"11M: El Principio del Fin","1",9.4
"11th Hour","1",5.625
"12 Dates of Christmas","1",6.71428571428571
"12 Dates of Christmas","2",6.525
"12 Deadly Days","1",6.64166666666667
"12 Eylul","1",8.25555555555555
"12 Jahre, 3 Monate, 9 Tage - Die Jahreschronik des Dritten Reichs","1",7.6
"12 Mart: Ihtilalin Pencesinde Demokrasi","1",8.64
"12 Miles of Bad Road","1",8.13333333333333
"12 Monkeys","1",7.93076923076923
"12 Monkeys","2",8.38461538461539
"12 Monkeys","3",8.59
"12 Monkeys","4",8.78181818181818
"12 O'Clock High","1",8.0625
"12 O'Clock High","2",7.99655172413793
"12 O'Clock High","3",7.9
"12 corazones","2",8.2
"12 oz. Mouse","1",7.24285714285714
"12 oz. Mouse","2",7.58461538461538
"12 oz. Mouse","3",6.04545454545455
"12 oz. Mouse","\N",6.56666666666667
